,Sample,Reactor,Media,Date,Hours,OD600,Lactate_mM,Acetate_mM,Formate_mM,Pyruvate_mM,Chloride_mM,Nitrite_mM,Nitrate_mM,Sulfate_mM,Phosphate_mM,Na_mM,NH4_mM,K_mM,Mg_mM,Ca_mM
32,I_cal_33_A3_2-2,A3,30:20 lac:nit,2/2/19 10:00,93.5,0.272,24.792815,0.4626504,0.312908,2.147151,10.25808817,13.06423215,3.527785707,4.269623152,4.784177131,189.0969566,6.271411941,3.9447030539999997,6.2563258589999995,2.1258545840000003
36,I_cal_37_A1_2-3,A1,20:30 lac:nit,2/3/19 14:15,121.75,0.271,15.3498,0.6340024000000001,0.33361820000000003,1.8566610000000001,6.9974332210000005,10.00239104,16.47289166,3.3974599210000003,4.69636122,198.3236321,6.4465879479999995,3.938308865,6.03867517,2.157792305
37,I_cal_38_A2_2-3,A2,20:5 lac:nit,2/3/19 14:15,121.75,0.25,15.529325,2.0647916,0.2991012,0.0,8.70843088,0.0,0.0,4.220903602,4.956228928,129.19784909999998,12.56056322,3.503759783,6.567372969,2.281301462
38,I_cal_39_A3_2-3,A3,30:20 lac:nit,2/3/19 14:15,121.75,0.252,24.598928,0.48835320000000004,0.3543284,2.447324,8.564578456,9.495924356,5.5314983170000005,4.002498438,4.602438208,173.5201508,6.39447863,3.8623459,6.035383666,2.03228704
39,I_cal_40_A1_2-4,A1,20:30 lac:nit,2/4/19 10:00,141.5,0.184,16.0679,0.6168672,0.3405216,1.7985630000000001,6.7486531460000005,7.340506467000001,19.1201018,3.509056839,4.694887092,171.9906868,6.6805255279999995,3.8994321960000002,6.0209833370000005,2.034532661
40,I_cal_41_A2_2-4,A2,20:5 lac:nit,2/4/19 10:00,141.5,0.261,14.588614000000002,2.099062,0.28529440000000006,0.0,8.071531323,0.0,0.0,4.376639599999999,4.9322217,123.73524029999999,13.11214591,3.378177912,6.4723307960000005,2.251609362
41,I_cal_42_A3_2-4,A3,30:20 lac:nit,2/4/19 10:00,141.5,0.195,24.878987,0.5311912,0.28529440000000006,2.089053,7.9214735,8.029127269,7.104599798,4.084530502,4.632552537,184.1665281,6.464327291,3.9175916930000003,6.081053281,2.066719896
42,I_cal_43_A1_2-5,A1,20:30 lac:nit,2/5/19 11:15,166.75,0.151,17.00143,0.4455152,0.312908,1.546805,6.526951175,5.758939246000001,21.18735777,4.148448886000001,4.7896524639999996,187.33632680000002,6.983757413999999,3.953399151,6.1863814029999995,2.110634263
43,I_cal_44_A2_2-5,A2,20:5 lac:nit,2/5/19 11:15,166.75,0.255,14.229564000000002,2.2018732000000005,0.33361820000000003,0.0,7.531661637000001,0.0,0.0,4.340828649,4.958124235,119.5825711,14.25522479,3.3835490310000003,6.725365151,2.29851789
44,I_cal_45_A3_2-5,A3,30:20 lac:nit,2/5/19 11:15,166.75,0.17800000000000002,25.496553,0.5825968,0.312908,1.808246,7.328575861,6.609716335,7.697456169,4.11430356,4.668563378,188.3397084,6.71933034,3.869251624,6.074881712000001,2.042766605
45,I_cal_46_A1_2-6,A1,20:30 lac:nit,2/6/19 15:30,195.0,0.171,17.547186,0.2655956,0.0,1.420926,6.568132457000001,6.700141288999999,20.80448481,3.441390797,5.150182055,182.7207717,6.68828649,3.863880505,6.019337585,2.020060881
46,I_cal_47_A2_2-6,A2,20:5 lac:nit,2/6/19 15:30,195.0,0.253,14.466536999999999,2.5103068,0.32671479999999997,0.0,7.179082165,0.0,0.0,3.66166979,5.120488905,120.3542325,14.64604468,3.2221597010000003,6.637317424,2.357902091
47,I_cal_48_A3_2-6,A3,30:20 lac:nit,2/6/19 15:30,195.0,0.188,26.286463,0.5054884,0.2714876,1.614586,7.051589428,7.008803391,7.128791434,4.20195711,4.807342,167.3429791,6.681079882000001,3.750831245,5.993005554,2.02430261
