transcrip_name,Regular.earlylog.1,Regular.earlylog.2,Regular.earlylog.3,Regular.midlog.1,Regular.midlog.2,Regular.midlog.3,Regular.latelog.1,Regular.latelog.2,Regular.latelog.3,Regular.stationary.1,Regular.stationary.2,Regular.stationary.3,Cysteine.inhibition.earlylog.1,Cysteine.inhibition.earlylog.2,Cysteine.inhibition.earlylog.3,Cysteine.inhibition.midlog.1,Cysteine.inhibition.midlog.2,Cysteine.inhibition.midlog.3,Cysteine.inhibition.latelog.1,Cysteine.inhibition.latelog.2,Cysteine.inhibition.latelog.3,Cysteine.inhibition.stationary.1,Cysteine.inhibition.stationary.2,Cysteine.inhibition.stationary.3,Sulfide.inhibition.earlylog.1,Sulfide.inhibition.earlylog.2,Sulfide.inhibition.earlylog.3,Sulfide.inhibition.midlog.1,Sulfide.inhibition.midlog.2,Sulfide.inhibition.midlog.3,Sulfide.inhibition.latelog.1,Sulfide.inhibition.latelog.2,Sulfide.inhibition.latelog.3,Sulfide.inhibition.stationary.1,Sulfide.inhibition.stationary.2,Sulfide.inhibition.stationary.3,Cysteine.injection.midlog.10hours.1,Cysteine.injection.midlog.10hours.2,Cysteine.injection.midlog.10hours.3,Cysteine.injection.midlog.23hours.1,Sulfide.injection.midlog.23hours.2,Sulfide.injection.midlog.23hours.3,Sulfide.injection.midlog.23hours.1,Sulfide.injection.midlog.10hours.2,Sulfide.injection.midlog.10hours.3,Sulfide.injection.midlog.10hours.1,Cysteine.injection.midlog.23hours.2,Cysteine.injection.midlog.23hours.3
Ga0242637_111313,9.194910614,9.314374698,9.150544426,9.554641034,9.497656951,9.64274518,9.967882227999999,9.914538207,9.857089119,9.67521793,11.10088583,10.25683569,9.101940863,9.212808596,9.223961186,9.118162666,9.309022331,9.404513015,9.185331912,9.30340901,9.337690251,8.837460729,9.209170888,8.96186042,9.219322583,9.234106444,9.143313185,8.835717092000001,8.884866842000001,8.965699098,10.76708527,10.95707423,10.18982576,9.632365042,10.10653447,10.30299007,9.498487753,9.861496397,9.758540317000001,10.04394991,10.18559629,9.946568404,10.24539711,9.617174503,9.404355861,9.332800614,9.882660584,10.20720017
Ga0242637_111314,9.991040191,10.0863935,9.801603701,9.778581633,9.667524989,9.70811105,9.510264006,9.453862002000001,9.394820214,9.349397904,9.010413687,9.045836622000001,9.526087967,9.914348141,9.913224403,8.956613776000001,9.018692684,9.091595947,8.803914831,8.73217609,8.79668149,10.639552900000002,9.738487473,10.00008189,9.825681116,9.872115564,9.802956301,9.664873802999999,9.646587846000001,9.760441985,9.071644923,9.152036235,9.121750222000001,8.986560307000001,8.806350672,8.691745115,8.861289857000001,9.152266782,8.84319564,9.572643799,9.0228269,9.015130167,9.152470903,9.360780218,8.873426115,8.946780631000001,9.274227816,9.581296011000001
Ga0242637_111315,8.619312583,8.694370557000001,8.540217037,8.157517455,8.117603549,8.094748526,7.714536363,7.811500272000001,7.867069386,7.882986327999999,7.4154841760000005,7.696926675,8.174263863,8.46512639,8.494146772,7.293070644,7.401950116,7.490035118,6.990927757000001,7.309772572000001,7.1945814,9.145745019,8.071988999,8.342338723,8.178323812,8.078044596,8.37433633,7.745251183,8.165287503,7.928560598,7.535000335,7.897080627,7.533385517,7.500810089,7.280356599,7.136521457000001,6.900325658,7.032246855,7.3022987420000005,7.481435096,6.785088255,6.81287756,6.626329062999999,7.585774307,7.701665685,7.5862866570000005,6.993114274,7.53504589
Ga0242637_111316,7.809345316,7.99825492,7.908496937000001,7.128177693,6.771185953,6.880836341,6.713230224,6.48779165,6.845585441,6.988511357999999,6.197054432000001,7.044970404,7.349494605,7.595318441,7.6271936160000005,6.096716606,5.87462932,6.230221713,6.609726987999999,7.029610664,7.071413057000001,10.04172966,9.254944186,9.509009801,7.336111008,6.991862832000001,6.937903474,6.722546896,7.658700969,7.365947900000001,7.330662785,7.675897658999999,7.062227366,7.17942728,7.0214645120000005,7.061276253,6.761999476000001,6.172248402999999,6.0194734620000006,6.500226678,5.7081519489999994,6.043013147000001,6.1548405939999995,6.815331317,6.92846714,6.662419676,6.387010023999999,6.3400039260000005
Ga0242637_111318,12.39516656,12.71583684,12.46071308,13.8287435,14.10300255,13.99385242,14.3016062,14.32509358,14.38619011,12.00131075,14.80543065,14.17265088,10.88522848,11.03940682,11.02050648,10.63773289,10.94503129,10.95489198,12.16787054,12.56545048,12.47333268,13.57905893,13.36580301,13.09983624,11.36549657,11.59771856,13.05500788,12.8697166,11.75035996,12.20299013,14.42180894,14.61729827,14.08697141,12.80378894,12.51434005,12.90485693,10.38980119,10.60962174,10.28612094,13.39263286,9.882160800000001,9.996592789,10.07933325,10.364967199999999,10.38553765,10.30722076,13.37614163,13.72820515
Ga0242637_111319,12.12532652,12.04060541,12.08806791,12.62018265,12.76800684,12.67990254,12.78716868,12.81575199,12.84440945,12.52194454,13.11216825,12.56508852,12.13805445,12.02867953,12.002595699999999,12.24157229,12.51018381,12.54835418,12.64140578,12.8254101,12.79930052,12.6647939,12.59576128,12.72425475,12.27869599,12.30781015,12.58418196,12.01336705,11.65918712,11.7019448,12.8934774,13.04248703,12.69321795,12.20442182,12.02323504,12.01382619,12.3097935,11.67881314,11.72003298,12.387051,12.90950721,12.45265172,12.91016885,12.0942326,12.35251756,12.03096098,12.32747256,12.55644569
Ga0242637_11132,11.42300748,11.22539177,11.60292005,11.60904622,11.54085917,11.64045074,11.39810957,11.58048323,11.71022953,11.34389045,11.47791058,11.3801852,11.383899699999999,11.39804271,11.28267932,11.81812394,11.74599882,11.63896186,11.56282442,11.39603908,11.46795388,9.96914782,9.92465349,10.47664664,11.0409468,10.90210376,11.256338000000001,11.09867135,11.16744185,11.12543982,10.98083133,10.90015611,11.33121404,11.19345384,11.24756852,11.1391841,11.51006695,11.25314052,11.05833968,10.37255625,12.1315852,12.05774633,12.06560852,11.66203228,12.03031365,11.85672324,10.3721304,10.41487416
Ga0242637_111320,13.065161,12.91122029,13.19169385,12.76808697,12.73807486,12.87668751,12.74793021,12.84448319,13.06920744,12.890123800000001,12.90929943,13.14188716,13.39129149,13.31615757,13.11646761,13.31744654,13.24708847,13.21006771,13.65514841,14.01176847,13.95334759,15.79606814,15.60840133,15.28170261,13.38827566,13.01597329,13.23190034,13.15610341,13.76616888,13.72647658,13.33327911,13.36518447,12.99707672,13.47676075,13.89248831,13.7182289,13.17565488,13.01576037,13.00197762,12.75681002,12.17927862,12.39302869,12.92733044,13.31080315,13.74405252,13.41684412,13.16247089,12.86980394
Ga0242637_111321,8.88254988,8.870555786,8.869010663,8.218956402,8.277509222,8.476571466000001,8.717245723,8.751235246,8.612362893,8.744978044,8.799559265,9.228492082,9.204634755,8.956903415,9.084931289,8.926384409,8.973811331,9.038634396,9.788960399,10.21221469,10.16263655,12.55306245,12.38507252,12.10278668,9.092330732999999,8.994095399999999,8.806555136,9.358768174,9.965538453999999,9.771176177000001,9.781408131000001,9.998598102999999,9.132315595,9.487438594,10.056142800000002,9.761363015,8.980359801,8.909686844,9.003661664,8.730028434,7.7914654720000005,7.778104527000001,8.807628012999999,8.972571474,9.131144625,8.975266503,9.295017765,8.902781775
Ga0242637_111322,8.80764245,8.74831867,8.973575592000001,8.69552127,8.885895537,8.854894768,8.30599961,8.420891231,8.28732911,8.10783223,7.965256182999999,8.002359753,9.822148757,9.471025956,9.372277268,9.055696878,9.085845694,8.715939542000001,7.442471472,5.936668265,6.295147771,6.228496762000001,6.134042288,6.139804722,8.746455385,8.525468505,8.534413971000001,8.381388979,8.598917886,8.45526112,8.056795623,7.972653892,8.392164868,8.924767226,8.628483958,8.679223816,9.636742672999999,9.57159926,9.285163434,9.419371544,9.027046139,9.011530058,9.240361065,9.140581463,9.181171083999999,9.169829519,9.510964443999999,9.457656703
